arg1,arg2,verb,sentence,verb_stem,label
idea,struck,root,The idea of having one child has struck a deeper root and less people are punished for violating the birth control plan . . . .,strike,1
he,examined,works,"He has closely examined the works of Hieronymus Bosch , but their crowded worlds of paradise and writhing sinners yielded few medical rewards .",examine,0
i,missed,'em,I 've missed 'em .,miss,0
step,examine,witnesses,It 's a step designed to get around potential subpoena limitations by enabling lawyers to examine Seattle witnesses from here .,examine,0
move,cool,craze,"Observers said the surprise move , just before the four-day midautumn festival holiday , was designed to cool the stock market investment craze .",cool,1
missiles,destroy,targets,"Because they 're so accurate , cruise missiles can use conventional bombs to destroy targets that only a few years ago required nuclear warheads .",destroy,0
which,smooth,much,"Mr. Campeau has promised to name a Federated team to lead the new Federated-Allied unit , which could smooth much of the anxiety .",smooth,1
study,examine,feasibility,"The study , they said , will examine the feasibility of selling the sporty vehicle being jointly developed by the companies , which are both affiliated with General Motors Corp .",examine,0
toys,rolled,camcorder,"Fisher-Price Toys , a division of Quaker Oats Co . , rolled out a $ 225 kids ' camcorder this Christmas , a pricey departure from its mainstay line of preschool toys .",roll,1
that,pump,%,They are irate about new capital-adequacy requirements that force securities firms to pump at least 20 % more capital into reserves .,pump,1
backers,kick,drive,"None of this seems to have damped the spirits of the hall 's backers , who plan to kick off a new fund-raising drive this fall .",kick,1
we,grab,it,"`` Ten years ago , it was enough to latch onto something 100 % proven , '' says Shoji Kumagai , general manager of technical development at giant Sumitomo Corp . `` Today we have to grab it at the idea stage . ''",grab,1
that,target,schools,"I have authored a bill to implement community-based gang violence intervention programs that would target elementary and junior high schools most affected by gang violence , providing job training , family and individual counseling and other techniques to limit the appeal of gangs and to teach vulnerable youngsters not to need to depend on drugs or gangs .",target,1
you,eat,half,Bachelor 's diet: You only eat half of everything you cook -- because the other half sticks to the bottom of the pan .,eat,0
holmes,target,acquisitions,Mr. Story thinks Mr. Holmes a Court will soon target acquisitions .,target,0
fire,destroyed,one,R.G. Barry Corp. said that fire destroyed one of its Mexican plants and that as a result projected 1988 sales are expected to be reduced 3 % to 4 % .,destroy,0
which,lend,aid,"The agreement also helps avoid bickering between Texaco and its independent-minded unit , which pledged to lend its vital aid in the sale .",lend,1
reserve,flooded,banks,"In the following decade , the Federal Reserve flooded the banks with reserves , providing the raw material for BankAmerica 's profligate lending policies while also creating a spiraling inflation .",flood,1
people,flooded,reporters,His public-relations people have flooded reporters with copies of his speeches .,flood,1
warplanes,struck,base,Israeli warplanes struck a Palestinian base in Lebanon .,strike,0
section,pumps,barrels,"Britain 's North Sea section pumps about 2.5 million barrels of oil a day , while the Norwegian section pumps about 1.2 million barrels a day .",pump,1
morris,grab,portion,They fear Philip Morris could grab a huge portion of the retail shelf and stifle innovation by muscling out smaller and regional concerns where new products are often born .,grab,1
farmers,plant,soybeans,The downturn quickly steamrolled on conjecture that the big rise in soybean futures prices in the past two weeks might motivate some farmers to plant more soybeans .,plant,0
which,strikes,americans,"They claim that colon cancer , which strikes more than 100 , 000 Americans a year , occurs only in people who inherit a particular gene from their parents that predisposes them to the cancer .",strike,0
who,destroyed,documents,"Mr. Hudson did n't provide any details about who destroyed documents , how they were destroyed or how they might have been related to the investigation .",destroy,0
industry,attacking,competition,"The approach is raising eyebrows in the cigarette industry , which generally refrains from attacking the competition by name .",attack,1
stockman,grabbed,it,"When his friend Mr. Peterson , who had introduced Mr. Stockman to Salomon Chairman John Gutfreund , offered him a place at Blackstone , Mr. Stockman grabbed it .",grab,1
that,attacked,remarks,But international groups that attacked Mr. Jenninger 's remarks may find themselves among the losers .,attack,0
they,eat,crow,They will eat crow for what they have been saying .,eat,1
democrats,grabbing,nunn,"The New York Times is already rehabilitating Michael Dukakis as a `` centrist , '' but if that 's true why are Democrats now grabbing every reporter in town to whisper , `` Sam Nunn for vice president '' ?",grab,1
bush,play,role,"Mrs. Bush , who disdains what she calls fake public displays of affection by the Dukakises , also will play an important role in her husband 's campaign .",play,1
rise,cool,economy,Several analysts wondered if the rise was ordered to cool down an overheating economy or rather to present a clear signal to the market that British Chancellor of the Exchequer Nigel Lawson is in command of interest rate policy .,cool,1
corp,stepped,drive,"International Business Machines Corp . , Siemens AG , and Bell Atlantic Corp. have stepped up their cooperative drive for a slice of the emerging European market for computerized telephone services .",step,1
students,drink,wine,"In seats of supple leather , Belgian students drink wine and listen to personal stereos .",drink,0
that,destroyed,them,But really it is the day that all four Tyrones come face to face with the ghosts that have haunted them and the demons that have nearly destroyed them .,destroy,1
efficacy,pouring,billions,"`` There are early signs that marketers have perceived a coupon glut and are questioning the efficacy of pouring out billions of them every year , '' said Joseph Laird , an investment banker active in the information industry .",pour,1
he,grasp,nature,"He fails to properly grasp the nature of the frontier culture , and only superficially understands the dilemma of the native people .",grasp,1
he,eat,lot,"Indiana Rep. Andrew Jacobs , a Democrat who 's neutral in the presidential-nomination contest , says Mr. Gephardt reminds him of a time in his life when he had to eat a lot of dinners at a drive-in restaurant .",eat,1
's,kick,fanny,She puts it this way: `` Let 's kick their fanny from here to yonder ! ``,kick,1
it,rained,inch,"It has rained only an inch and a half since January , and most of that came in sprinkles that quickly sizzled back into the air as soon as they hit the burning ground .",rain,1
it,escape,slump,"Limited grew so quickly and was such a hit on Wall Street for so long `` that some of us thought it could escape the current fashion retail slump , but that is n't the case . ''",escape,0
time,rest,heads,And she recalls Joshua 's reaction to his first week of first grade: `` They do n't give us enough time to rest our heads and our hands . '',rest,0
union,fill,void,"Wynfred Joshua of the Defense Intelligence Agency says that if the U.S. does n't seize the opportunity to engage the Iranians , the Soviet Union will fill the void .",fill,1
that,attacks,way,"After a few years of relative calm , Burger King is about to start a new advertising campaign that attacks the way McDonald 's cooks .",attack,0
time,ride,bike,"Twelve-year-old Peter Reaves of Pittsburgh treasures `` his free time to ride his bike , play ball and just hangout , '' says his mother Debby .",ride,0
group,die,for,"Quiet pressure from top businessmen combined with British and German threats of more sanctions to convince Pretoria to soften legislation that would cut off overseas funding of opposition groups , and to indefinitely postpone the hanging of the Sharpeville Six , a group of blacks sentenced to die for the mob killing of a black town councillor .",die,0
campaign,drink,brands,"Schieffelin & Somerset Co. is beginning a boldly different , big-budget advertising campaign that it hopes will persuade more baby boomers to drink its Johnnie Walker Scotch whisky brands .",drink,0
ge,poured,million,GE has poured more than $ 200 million into designing better turbine parts .,pour,1
students,miss,classes,Mr. Knight and others criticize the service for helping students miss classes .,miss,0
stunt,kicking,dirt,"The A 's won Monday 's opener , 3-2 , on a Henderson home run in the 14th inning , but were upstaged by Team Turmoil 's manager , Billy Martin , who was ejected after pulling his old stunt of kicking dirt on an umpire during a dispute .",kick,0
afternoon,eating,chicken,"New Year 's Day , after an afternoon of eating my mother-in-law 's chicken , I weigh in at 175 pounds .",eat,0
ability,destroy,drones,It actually demonstrated its ability to destroy target drones in flight .,destroy,0
one,lend,money,"Oh , for the day when we all drive Yugos to our stagnant jobs , secure in the knowledge that no one will lend us money .",lend,0
agency,absorb,losses,The FDIC staff also noted that Wells Fargo would have given the agency no control over the selection and management of bad loans for which the agency would have to absorb all losses .,absorb,0
it,grab,lion,"At one point , the shark disappears , then roars up from the deep to snatch a big chunk of horsemeat on the surface , the way it might grab an unsuspecting sea lion .",grab,1
livingwell,lend,t.h.e.,"Under the new agreements , LivingWell will lend T.H.E. about $ 1.2 million on a secured basis , cancel prior T.H.E. indebtedness to a LivingWell unit , and return about two million T.H.E. common shares .",lend,0
virus,struck,reinforcements,Scientists in their labs when the virus struck called reinforcements for help .,strike,1
northwest,fly,leg,The FAA found that Northwest was requiring international flight crews to fly a domestic leg as well before going off duty .,fly,0
ad,struck,nerve,"The ad struck a nerve in a public made more jittery by the obsessed mob that , in Sen. Goldwater 's name , hooted and jeered former President Eisenhower at the Republican National Convention that summer .",strike,1
they,grab,flesh,"And they did n't just grab the clothes , they were trained to grab the flesh . ''",grab,1
followers,drink,vodka,"Stealthies like Capt. Marvel , Bill Sweetman , John Andrews and Sam Jones are , nevertheless , a patriotic lot who aim to get as close as possible without breaching national security in pursuit of their passion . -LRB- They are aware that the most fanatic Stealth followers drink their vodka straight. -RRB-/-RR",drink,0
ibm,targeted,commission,IBM targeted the EC Commission for special attention .,target,1
canada,escaped,forms,But Mr. Mulroney is arguing that Canada has escaped the most virulent forms of U.S. protectionism .,escape,1
rates,lend,support,"Still , market participants say the firmer U.S. interest rates will lend support to the dollar if tomorrow 's report shows that the trade gap widened in June .",lend,1
%,targets,wealthy,"The main problem , though , is that 80 % of all retirement housing now on the market targets the wealthy -- yet that group makes up just 20 % of all elderly people , says Gordon M. Johnson , a Los Angeles retirement-housing specialist with Laventhol & Horwath , a Philadelphia-based accounting firm that studies real estate .",target,1
plan,destroy,atlanta,"But a KKR spokesman , saying the RJR-Shearson group would sell more RJR assets in a takeover than KKR , denied any such plan: `` They think we want to destroy Atlanta ?",destroy,0
resolution,rests,more,But the resolution probably rests more on politics than on flying skill and commercial expertise .,rest,0
business,dragging,price,The oil-service business has been dragging the company 's stock price down since the oil industry peaked in 1981 .,drag,1
treasuries,grasp,principle,"But if the Fed and other central banks and treasuries can this time grasp the principle , the dollar 's summer rally could be an important rendezvous for the world 's monetary system .",grasp,0
one,grasp,way,"As the struggle enters its final weekend , any one of the top contenders could grasp his way to the top of the greasy pole .",grasp,0
publicity,drown,him,"Especially for Sen. Gore , who must worry that all the publicity enjoyed by the winners in Iowa and New Hampshire could all but drown him out .",drown,1
livingwell,lend,million,"Under the new agreements , LivingWell will lend T.H.E. about $ 1.2 million on a secured basis , cancel prior T.H.E. indebtedness to a LivingWell unit , and return about two million T.H.E. common shares .",lend,0
ltd,lend,million,"Manufacturers Hanover Ltd . , the London-based investment-banking unit of Manufacturers Hanover Corp . , is organizing banks to lend $ 160 million to Super Octanos C.A . , a 51 % Venezuelan state-owned joint venture .",lend,0
intelligence,grasp,them,There are truths of which we shall remain unaware forever because we do n't have the intelligence to grasp them .,grasp,1
haiti,dissolved,agency,Haiti dissolved an agency that administered major development projects .,dissolve,0
i,eat,pizza,"Moreover , I have yet to eat a pizza that did n't leave the top of my mouth burned for several days afterward .",eat,0
toothpastes,dissolving,it,Some companies had also counted on being able to come up with anti-plaque toothpastes that actually kill the bacteria instead of simply dissolving it or scrubbing it away .,dissolve,0
doctor,destroyed,files,The doctor who removed the IUD destroyed Ms. Murdock-Vaughn 's files in 1979 as part of a routine office cleaning .,destroy,0
flocks,fly,formations,"`` On silent nights , great flocks of white birds fly formations past the Camino 's Lobby Bar . . . .",fly,1
force,targeted,changes,"In April 1981 , the task force targeted some 30 regulatory changes -- reducing the cost of producing automobiles by more than a billion dollars a year without compromising legitimate regulatory protections .",target,0
that,escape,many,"And so long as one-third of the black population is mired in poverty , blacks will not hear of dismantling programs that enabled so many within their ranks to escape poverty in the first place .",escape,0
who,attacked,financing,"MINOR MEMOS: Texas Sen. Gramm , who last year bitterly attacked federal financing of a weed center in North Dakota , pushes to establish a `` plant stress '' lab in Lubbock . . . .",attack,0
that,knocked,third,"In 1985 , we took a write-off to finance all this restructuring that knocked a third of our equity away .",knock,1
bomb,attack,embassy,"American officials have concluded that the Kuwaiti hijacking is the work of a Lebanese Shiite terrorist named Imad Mugniyah who has been trying for more than four years to free his wife 's brother from prison in Kuwait , where he was convicted in 1984 of building a bomb used to attack the U.S. Embassy .",attack,0
mubarak,steps,plane,"When Egyptian President Hosni Mubarak steps off his plane at Andrews Air Force Base tomorrow to begin a visit to Washington , he will be a changed man .",step,0
index,touched,high,"The New York Stock Exchange composite index also touched a high since the crash but pulled back to close at 144.82 , up 0.28 but below its Oct. 21 level of 145.02 .",touch,0
effort,cool,rally,"The Tokyo Stock Exchange has twice this year raised margin requirements in an effort to cool the Tokyo market 's sharp rally , but share prices have continued upward as the moves were widely viewed as , if anything , healthy and reassuring .",cool,1
shark,grabs,snack,"Shortly after 6 p.m . , the shark grabs a final tuna-head snack off a line and glides off into the gloom .",grab,0
which,absorb,sulfur,"An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur .",absorb,0
friendship,smooth,way,"James Gatward , Television South 's chief executive , said his friendship with MTM chief executive officer , Arthur Price , helped smooth the way for a linkup with the small British company rather than a larger European partner .",smooth,1
one,eat,it,"Another regular , bundled in a brown cape , his feet wrapped in cloth , was seen touching all the bread in the basket `` hoping no one else will eat it , '' says Mrs. Howell .",eat,1
clots,dissolved,brand,"The potentially fatal clots dissolved within two hours among 82 % of patients given Genentech 's Activase brand of TPA , compared with 48 % who used Abbokinase , Abbott Laboratories 's brand of urokinase .",dissolve,0
weather,melted,him,"`` The hot weather just about melted him away , '' Mr. Corbett says with a sigh .",melt,1
widow,lent,him,"More recently , Pablo Casals 's widow lent him her husband 's precious Goffriller cello for two years and the teen-ager played chamber music at Carnegie Hall with Isaac Stern , Yo-Yo Ma and other luminaries .",lend,0
sets,flooded,windows,"In the weeks that followed , South Korean television sets , Taiwanese cassette players and imported clothes flooded shop windows -- apparently the harvest of a new policy that allows businessmen to import goods with foreign currency held abroad .",flood,0
china,poured,thousands,"China poured tens of thousands of dollars into producing the country 's first batch of U.S.-trained M.B.A.s , including Mr. Wang .",pour,1
development,destroying,stones,"Horace Furumoto , chairman and chief executive officer , said the company recently has completed its first phase as a public company , which included the development of lasers for removing birthmarks and for destroying kidney stones without surgery .",destroy,0
pyongyang,attack,helicopters,"This expert also believes that Pyongyang might use helicopters it has bought from the West , which are identical to those used by the Seoul army , to attack student demonstrators .",attack,0
responsibility,lend,hand,"It is to correct for such gaps in market operations -LRB- or `` externalities , '' as economists call them -RRB- that governments have a responsibility to step in and lend a helping hand .",lend,1
that,lend,million,"Mr. Muth is president of Real Estate Advisors Inc . , a Los Angeles investment management firm that agreed to lend Wespac as much as $ 1.5 million under the agreement .",lend,0
ability,absorb,inventory,"Its value depends on how quickly you can bring it to market , and there are problems like zoning and water and the ability of the market to absorb inventory . ''",absorb,0
they,kick,broadcasters,"Hollywood studios claim that cable operators have become a monopoly , that they pay too little in royalties , and that they can kick broadcasters off cable systems and freeze out Hollywood producers .",kick,1
it,examine,documents,"City Capital Associates , a group led by Steven and Mitchell Rales of Washington , D.C . , indicated that it would be willing to raise its bid for the company to $ 72 a share from $ 70 if it can examine certain non-public documents .",examine,0
inc.,fix,percentage,-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,fix,1
leak,pouring,gallons,The leak and pump problems developed Friday soon after technicians began pouring more than half a million gallons of liquid hydrogen and liquid oxygen propellant into the spaceship 's external fuel tank on Launch Pad 39B .,pour,0
ads,play,dog,"But soon new ads will play down the dog even further and display a metal `` G , '' Greyhound 's stock symbol , coming out of a foundry .",play,1
worthington,pours,glass,"At the Pavilion , Mr. Worthington pours a last glass .",pour,0
members,grabbed,stewardesses,"Most-Remarkable Explanation -- `` Some players did n't recognize that different behavior is required on a commercial flight than on a charter , '' said Jim Ferguson , publicity director for the Cincinnati Reds , after team members grabbed stewardesses and threw food on an April 13 Continental Airlines flight to Houston from San Francisco .",grab,0
more,rode,nose,"Both animals went into the book at $ 3.40-to- $ 1 , but about $ 5 , 000 more of the first-place mutuel pool rode Private Terms 's nose to an inglorious ninth .",ride,1
e,examined,horse,"A Dr. E `` examined a horse that had warts on its forelegs , '' begins one item in the newsletter , which withholds names of vets and patients .",examine,0
we,miss,some,"`` We 're guaranteed to miss some of the up market , '' he concedes .",miss,0
that,fix,odds,These grants are the public finance equivalent of a lottery for state and local governments that continually fix the odds in their favor of obtaining one .,fix,0
he,touch,people,"He can be oblivious to how calculated he sometimes appears , yet he can also touch people , as when , at the close of the Louisville rally Saturday , he brought forward Georgia Powers , a black Kentucky state senator .",touch,1
event,fill,bottle,"`` They say it 's demeaning to the steer , but how would they know that ? '' asks Mr. Souther , who compares it to `` wild-cow milking '' -- an event in which one person tries to calm a wild cow while another tries to fill up a Coke bottle with wild-cow milk .",fill,0
programs,target,americans,"These programs target the 34 million Americans who , according to the National Institutes of Health , need to lose 35 pounds or more .",target,0
he,fills,positions,He fills positions that have been vacant for more than a year .,fill,0
fbi,lent,3,"The FBI immediately lent Mr. Pelleu $ 3 , 800 , and arranged to tape several phone conversations he had with Mr. Sanders about the ring .",lend,0
who,lent,billion,"Federal regulators are expected to issue a statement as early as this week intended to reassure nervous Wall Street firms who have lent more than $ 10 billion to the thrift unit of deeply troubled Financial Corp. of America , Wall Street executives said .",lend,0
he,stepped,pace,"And as the DeRance account 's losses mounted , he stepped up the pace of his trading .",step,1
activities,examine,fundamentals,Most historians of the Tulipmania were so intent on demonstrating the follies of speculative markets and thereby providing a case for controlling market activities that they neglected to examine the market fundamentals of bulb pricing .,examine,0
candidate,escaping,stigma,"He also refused both domestic and U.S. calls to step aside for a compromise plebiscite candidate , who might have benefited from Chile 's economic boom while escaping the stigma of the Pinochet regime 's appalling humanrights record .",escape,0
bank,lend,him,No bank would lend him money .,lend,0
effort,examine,reliability,During that period I had made a number of wilderness trips into war zones in an effort to examine the reliability of the many conflicting human-rights reports and present an overall picture of the Contra war 's human toll .,examine,0
ltd,poured,million,"Kubota Ltd . , for example , has poured about $ 75 million into some of Silicon Valley 's hottest companies , including MIPS Computer Systems and Ardent Computer .",pour,1
unit,flew,miles,"For the first five months of the year , the NWA Inc. unit flew 14.9 billion revenue passenger miles , down 7.5 % from 16.1 billion miles a year earlier .",fly,0
investigators,examine,each,"Digging into the affairs of a hypothetical Jones Corp . , for example , Murphy accountants and investigators in many cases will examine each and every document .",examine,0
pillars,grasp,quandary,The new Clore-backed directors viewed their counterparts as stodgy pillars of the San Francisco establishment who failed to grasp KaiserTech 's financial quandary .,grasp,1
stockpiles,cool,report,"The drought is expected to draw down agricultural stockpiles , which could help `` cool '' the third-quarter-GNP report , economists said .",cool,1
he,kicks,pedestals,He then kicks the pedestals out from under them .,kick,1
structure,fixed,it,`` I 'm quite sure there was someone within the IBM structure that could have just reached in and fixed it . '',fix,1
forum,targeting,blacks,"In its drive for more minority students , Stanford joined forces with UCLA , the University of California at Berkeley and the University of Southern California to sponsor a forum targeting blacks and Hispanics ; about 200 prospective students attended the event .",target,1
member,melt,heart,"Unself-consciously , the littlest cast member with the big voice steps into the audience in one number to open her wide cat-eyes and throat to melt the heart of one lucky patron each night .",melt,1
japan,absorbed,body,Longtime American expatriates here like to recall what happened in the 1970s when Japan easily absorbed the same heavy body blows from the organization of Petroleum Exporting Countries that bring other developed nations to their knees .,absorb,0
they,pumped,concerns,"With the Pledge , the furlough program and the ACLU , they pumped some genuine voter concerns into the election .",pump,1
workers,pumped,gases,Recovery efforts off the coast of Florida had been delayed while the workers pumped toxic gases from the 30-year-old vessel .,pump,0
inc.,stepped,attack,West Point-Pepperell Inc. stepped up its attack on suitor William Farley with a lawsuit that seeks to block him from taking over the company .,step,1
you,missed,solution,"Your analysis of our problems with Congress is excellently presented in your April 18 editorial `` The U.S. House of Lords '' but , in my opinion , you missed the obvious solution -- a limit on the amount of time that a congressman or a senator can serve .",miss,0
he,kick,country,"Their ambassador , Oleg Sokolov , speaks fluent English , goes to prayer breakfasts with President Corazon Aquino , and gives smooth interviews to the Philippine press in which he urges the country to kick out the Americans and get friendlier with Moscow .",kick,1
blasts,struck,limousine,"At least three shotgun blasts struck Hans Tietmeyer 's chauffeur-driven limousine yesterday morning , police said , as he traveled from his suburban Bonn home .",strike,0
troops,cooled,that,"But , he said , armed troops loyal to the Panamanian dictator `` kind of cooled that down . ''",cool,0
costs,cool,residence,"Normal cooling costs are defined as the expected costs to cool a residence in average August weather , which is based on temperature records for the past 30 years .",cool,0
someone,grab,mitt,Suggest someone else grab a mitt and squat awhile .,grab,0
heinz,targeting,countries,"Heinz is targeting such countries as Germany , France and Portugal for growth in anticipation of the European Community 's plan to eliminate trade barriers within the 12-nation trading bloc by the end of 1992 , the spokesman added .",target,1
loans,absorb,losses,The FDIC staff also noted that Wells Fargo would have given the agency no control over the selection and management of bad loans for which the agency would have to absorb all losses .,absorb,0
he,destroy,documents,He testified that he was ordered by the Robins former general counsel in 1975 to destroy sensitive documents about the Dalkon Shield .,destroy,0
i,touch,arm,"At the Chicago seminar , a participant named Jackie says: `` I like to touch their arm and say their name .",touch,0
violations,pumping,sales,"Mr. Bluey , who reports to SEC enforcement chief Gary Lynch , says he will particularly watch for accounting violations in pumping up sales , cost deferral and new types of financial instruments .",pump,1
it,destroys,kinds,"Eric Johnson , the researcher , found that it also destroys certain kinds of botulism .",destroy,0
banks,lend,other,"The funds rate , which is the rate on reserves that banks lend each other overnight , strongly influences many other rates , including those that dealers must pay to finance their bond holdings .",lend,0
jean,escaped,family,Young Jean escaped her family into literature and into a fast crowd she found at the University of Colorado .,escape,1
additions,knocked,ratio,"At Lloyds , for example , additions to loan-loss provisions knocked the key equity-to-assets ratio down to 4.4 % at midyear from 5.8 % at the start of 1987 .",knock,0
way,escape,ceiling,"The attraction: flexibility , a way to escape the corporate `` glass ceiling , '' and an experienced franchiser to help them learn the ropes .",escape,0
that,killed,32,Pravda said an Azerbaijan metalworker went on trial for murder for his part in February ethnic riots that killed at least 32 in the Soviet republic .,kill,1
they,stepping,efforts,Government investigators said they are stepping up efforts to gain the cooperation of numerous figures in the Pentagon bribery-and-fraud scandal and hope to obtain the assistance of dozens of key witnesses within two months .,step,1
debartolo,lend,million,"Edward J. DeBartolo , a Youngstown , Ohio , shopping store operator , has agreed to lend Campeau 's U.S. holding company $ 400 million for the Federated bid .",lend,0
management,escaped,skaggs,Lucky 's widely respected management appeared to have escaped Mr. Skaggs when it announced its $ 61-a-share buy-out plan in April .,escape,0
raise,fix,promise,"In a statement , Mr. Kennedy announced that the raise would `` fix '' the promise of a living wage made 50 years ago when the minimum wage was created -- a promise he says was broken by the Reagan administration .",fix,1
colleagues,dragged,nests,"A few years ago , Dr. Zimmerman and his colleagues dragged nests of two different termite species into the lab and measured their methane output .",drag,0
farmers,plant,acreage,"Because of sharp drops in grain stockpiles , the department is likely to allow farmers to plant more acreage next year .",plant,0
churches,stepped,criticism,"It also is likely to lead to an escalation in the clash between the church and the state , which has been raging since last month when several churches , including the Roman Catholic Church , stepped up their criticism of apartheid .",step,1
reserve,strike,voters,"In the end , Mr. Dukakis 's cool reserve may strike some voters as a kind of necessary political toughness or as a liability for such high office .",strike,0
americans,pumping,iron,"There is , of course , a long-established list of `` have '' and `` have not '' sports in the U.S . , but it is ironic that weightlifting ranks with the `` nots '' at a time when Americans are pumping iron in unprecedented numbers .",pump,1
asta,kicking,heels,"These interludes show Asta kicking her heels while bicycling in the country , splish-splashing merrily in a pond ; they have the emotional depth of a Tampax commercial , which they resemble .",kick,1
dollar,touched,low,"Most of the pressure on the currency came in overseas trading , where the dollar touched a six-year low against the pound .",touch,0
management,absorb,portion,"Management of three of the five highest yielding general purpose funds , as ranked by the Donoghue Organization , absorb a portion of fund expenses .",absorb,1
stocks,dragged,indexes,"A late Tokyo rally concentrated in railways and banks helped indexes trim their losses , but electrical stocks , which fell sharply early in the afternoon session and dragged the indexes with them , failed to recover .",drag,1
plan,lend,company,"The revised terms stem from ITT 's review of Portland , Ore.-based American Network 's operations , including actual and expected losses , plus ITT 's plan to lend the company short-term financing .",lend,0
veteran,drinking,port,"He retreats into jolly descriptions of a few days spent behind the front lines in French villages and ruined chateaux teeming with wild flowers ; he records his progress from naive snob to combat veteran horsing around , playing cricket , drinking champagne and port , and thinking of his servant as his `` most valuable possession . ''",drink,0
russians,drink,tea,"Russians in sweat suits drink tea and play cards , repack their crates and collect their linen .",drink,0
he,missed,connection,Normal Barrett was flying to a Hawaiian island when he missed a connection in Honolulu because his United Airlines flight left late .,miss,0
he,assaulted,wife,Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife .,assault,0
i,grasped,concept,"I punch my fist in the air , `` Rocky '' -style , to indicate that I 've grasped the concept .",grasp,1
motorola,targeting,market,"But although Motorola , with its new chips , seems to be targeting the fledgling RISC-chip market opened by Sun and others , its fiercest competitor remains microprocessor powerhouse Intel Corp . , analysts say .",target,0
roger,destroy,morale,"`` If Roger had purposely set out to destroy all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive .",destroy,1
i,pour,water,"Re your page-one story `` To Mark Year 2000 , Some Events Will Be Out of This World , '' June 27: I 'd hate to pour water on anybody 's millennial observance , but 2000 is the last year of the 20th century .",pour,1
volkswagen,rolled,line,"The last Volkswagen made in North America has rolled off the assembly line , but it is n't for sale .",roll,0
fbi,lent,pelleu,"The FBI immediately lent Mr. Pelleu $ 3 , 800 , and arranged to tape several phone conversations he had with Mr. Sanders about the ring .",lend,0
residents,absorbed,rice,"In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag .",absorb,1
unions,grab,members,"The suspension likely will accelerate inter-union warfare , as the electricians step up their recruitment drive at new sites , while other unions try to grab electricians ' members in factories where they represent the minority , Mr. Metcalfe says .",grab,1
who,rolled,landslide,"The senator , who 'd rolled up a 2-to-1 Dubuque County landslide six years earlier , barely edged Republican challenger Roger Jepsen this time -- and went on to lose the state in a stunning upset .",roll,1
who,struck,plants,"But these corporate gains appear more like personal setbacks to Mr. Collyer and many of the other 32 , 500 British workers who struck Ford 's British plants eight days ago .",strike,0
that,attack,ship,"-- The other day , U.S. helicopters fired on Iranian gunboats that were preparing to attack a Panamanian ship near Farsi Island .",attack,0
it,attacking,target,The view contradicts administration claims that Moscow knew it was attacking a non-military target .,attack,0
stern,played,harp,Karen Stern has played the harp surrounded by ice sculptures at a restaurant and as part of the display for a three-foot-high cake at a pastry competition .,play,1
that,pump,capital,They are irate about new capital-adequacy requirements that force securities firms to pump at least 20 % more capital into reserves .,pump,1
banks,lend,one,"The rate on Federal funds , or reserves banks lend one another overnight , could climb above 8 % by tomorrow from just under 7 3 4 % , he said .",lend,0
it,lend,market,"Although foreign exchange traders had been awaiting Mr. Greenspan 's testimony in the hope it would lend the currency market some long-sought direction , most said his statements had a neutral impact .",lend,0
banks,lend,other,"The rate on funds , or reserves that banks lend each other overnight , has been hovering between about 8 % and 8 1 4 % recently .",lend,0
foreigners,lend,money,So the same Congress that runs a budget deficit so that foreigners have to lend us money wants to make it more difficult for foreigners to lend us money .,lend,0
olympics,dragging,essay,"Every four years we can count on a presidential election , the Olympics , and Mr. Schlesinger dragging out his tired old essay on why he does n't like the electoral college .",drag,1
they,pouring,champagne,"They are pouring lots of free drinks , especially champagne and liqueurs , at art events in Los Angeles and New York .",pour,0
iran,attacked,tanker,"In the Persian Gulf , Iran twice attacked a Norwegian tanker .",attack,0
who,fixed,car,Mr. Schlachter was drawn to Maaco after talking with a franchisee who fixed a friend 's car .,fix,0
need,cool,markets,Mr. Feldt insisted that the need to cool the high-flying capital markets -- and placate his party 's union supporters at a sensitive juncture in the election campaign -- outweighed the Riksbank 's arguments .,cool,1
polymers,lend,themselves,"Mr. Hopfield , known mainly for his work on neural networks , believes that electronically controllable polymers may lend themselves to the complicated wiring of neural networks .",lend,0
bank,missed,target,"So far , the central bank has missed almost every government monetary target for the first half by a wide margin .",miss,0
effort,smooth,rift,"There was market speculation yesterday that senior officials of Olympia & York may have met secretly with Michael D. Dingman , chairman and chief executive officer of Henley , in an effort to smooth over a rift between the two one-time suitors for Santa Fe , a Chicago-based railroad and energy concern .",smooth,1
idb,lends,money,"That got the IDB 's attention , but we now wonder about the administration 's strategy for winning a greater say in where and to whom the IDB lends money .",lend,0
ward,lent,it,"The campaign was able to buy television time in the week before the election only because Mr. Ward personally lent it $ 20 , 000 .",lend,0
